gps_time,X_km,Y_km,Z_km
2024-01-01 00:00:00,-21032.861015,1830.470019,-16349.972237
2024-01-01 00:05:00,-20568.469417,1412.447069,-16974.311773
2024-01-01 00:10:00,-20093.967525,971.896669,-17566.681359
2024-01-01 00:15:00,-19611.012841,509.032061,-18125.973818
2024-01-01 00:20:00,-19121.261519,24.169858,-18651.143742
2024-01-01 00:25:00,-18626.361592,-482.270551,-19141.209301
2024-01-01 00:30:00,-18127.946245,-1009.768031,-19595.253949
2024-01-01 00:35:00,-17627.627183,-1557.701153,-20012.428009
2024-01-01 00:40:00,-17126.988101,-2125.350064,-20391.950155
2024-01-01 00:45:00,-16627.578287,-2711.898775,-20733.108777
2024-01-01 00:50:00,-16130.906393,-3316.437845,-21035.263229
2024-01-01 00:55:00,-15638.434387,-3937.967463,-21297.844954
2024-01-01 01:00:00,-15151.571714,-4575.400902,-21520.358508
2024-01-01 01:05:00,-14671.669696,-5227.568347,-21702.382439
2024-01-01 01:10:00,-14200.016178,-5893.221073,-21843.570068
2024-01-01 01:15:00,-13737.830459,-6571.035955,-21943.650131
2024-01-01 01:20:00,-13286.25852,-7259.620296,-22002.427306
2024-01-01 01:25:00,-12846.368563,-7957.516959,-22019.782612
2024-01-01 01:30:00,-12419.14689,-8663.209768,-21995.673684
2024-01-01 01:35:00,-12005.494129,-9375.129176,-21930.134919
2024-01-01 01:40:00,-11606.221836,-10091.658162,-21823.277499
2024-01-01 01:45:00,-11222.049465,-10811.138343,-21675.289283
2024-01-01 01:50:00,-10853.601745,-11531.876272,-21486.43457
2024-01-01 01:55:00,-10501.40645,-12252.149903,-21257.053738
2024-01-01 02:00:00,-10165.892595,-12970.215186,-20987.562746
2024-01-01 02:05:00,-9847.389047,-13684.312784,-20678.452518
2024-01-01 02:10:00,-9546.123566,-14392.674867,-20330.288184
2024-01-01 02:15:00,-9262.222284,-15093.531964,-19943.708206
2024-01-01 02:20:00,-8995.709616,-15785.119848,-19519.423359
2024-01-01 02:25:00,-8746.508614,-16465.686424,-19058.215601
2024-01-01 02:30:00,-8514.441755,-17133.498587,-18560.936799
2024-01-01 02:35:00,-8299.232168,-17786.849027,-18028.507336
2024-01-01 02:40:00,-8100.50529,-18424.062956,-17461.914591
2024-01-01 02:45:00,-7917.790952,-19043.504723,-16862.211289
2024-01-01 02:50:00,-7750.525877,-19643.58429,-16230.513734
2024-01-01 02:55:00,-7598.056601,-20222.763547,-15567.99991
2024-01-01 03:00:00,-7459.642776,-20779.562436,-14875.907468
2024-01-01 03:05:00,-7334.460874,-21312.564851,-14155.531595
2024-01-01 03:10:00,-7221.608252,-21820.424311,-13408.222758
2024-01-01 03:15:00,-7120.107584,-22301.869346,-12635.384341
2024-01-01 03:20:00,-7028.911621,-22755.70861,-11838.470173
2024-01-01 03:25:00,-6946.908277,-23180.835669,-11018.981936
2024-01-01 03:30:00,-6872.926014,-23576.233462,-10178.466482
2024-01-01 03:35:00,-6805.739499,-23940.978402,-9318.513039
2024-01-01 03:40:00,-6744.075525,-24274.244106,-8440.750323
2024-01-01 03:45:00,-6686.619149,-24575.304732,-7546.843558
2024-01-01 03:50:00,-6632.020042,-24843.537913,-6638.491408
2024-01-01 03:55:00,-6578.899015,-25078.427264,-5717.422822
2024-01-01 04:00:00,-6525.854691,-25279.564457,-4785.393803
2024-01-01 04:05:00,-6471.470301,-25446.650855,-3844.184105
2024-01-01 04:10:00,-6414.320568,-25579.498688,-2895.593863
2024-01-01 04:15:00,-6352.978653,-25678.031772,-1941.440161
2024-01-01 04:20:00,-6286.023136,-25742.285758,-983.553543
2024-01-01 04:25:00,-6212.04499,-25772.407915,-23.774486
2024-01-01 04:30:00,-6129.654531,-25768.656447,936.050181
2024-01-01 04:35:00,-6037.488298,-25731.399334,1894.070882
2024-01-01 04:40:00,-5934.215848,-25661.112714,2848.438925
2024-01-01 04:45:00,-5818.54642,-25558.378803,3797.310162
2024-01-01 04:50:00,-5689.235449,-25423.883363,4738.848644
2024-01-01 04:55:00,-5545.090893,-25258.412726,5671.230292
2024-01-01 05:00:00,-5384.979346,-25062.850391,6592.646553
2024-01-01 05:05:00,-5207.831912,-24838.173195,7501.30805
2024-01-01 05:10:00,-5012.649802,-24585.447096,8395.4482
2024-01-01 05:15:00,-4798.509643,-24305.822557,9273.326814
2024-01-01 05:20:00,-4564.568458,-24000.529576,10133.233642
2024-01-01 05:25:00,-4310.068302,-23670.87237,10973.491886
2024-01-01 05:30:00,-4034.340536,-23318.223734,11792.46164
2024-01-01 05:35:00,-3736.809699,-22944.019114,12588.543283
2024-01-01 05:40:00,-3416.996986,-22549.750397,13360.180783
2024-01-01 05:45:00,-3074.523294,-22136.959476,14105.864928
2024-01-01 05:50:00,-2709.111822,-21707.231585,14824.136461
2024-01-01 05:55:00,-2320.590228,-21262.18846,15513.589129
2024-01-01 06:00:00,-1908.892315,-20803.481345,16172.872607
2024-01-01 06:05:00,-1474.059242,-20332.783876,16800.69533
2024-01-01 06:10:00,-1016.240252,-19851.784878,17395.827188
2024-01-01 06:15:00,-535.692926,-19362.181103,17957.102104
2024-01-01 06:20:00,-32.782932,-18865.669945,18483.42047
2024-01-01 06:25:00,492.016699,-18363.942169,18973.751451
2024-01-01 06:30:00,1038.126791,-17858.674681,19427.135136
2024-01-01 06:35:00,1604.86372,-17351.52337,19842.684538
2024-01-01 06:40:00,2191.441578,-16844.116069,20219.587442
2024-01-01 06:45:00,2796.974815,-16338.045649,20557.108085
2024-01-01 06:50:00,3420.481317,-15834.863289,20854.588677
2024-01-01 06:55:00,4060.88594,-15336.071953,21111.450745
2024-01-01 07:00:00,4717.024453,-14843.120093,21327.196307
2024-01-01 07:05:00,5387.647896,-14357.395625,21501.408879
2024-01-01 07:10:00,6071.427321,-13880.220185,21633.754287
2024-01-01 07:15:00,6766.958895,-13412.843708,21723.981318
2024-01-01 07:20:00,7472.769348,-12956.439338,21771.922176
2024-01-01 07:25:00,8187.321735,-12512.098716,21777.492766
2024-01-01 07:30:00,8909.021485,-12080.827636,21740.69279
2024-01-01 07:35:00,9636.222724,-11663.542111,21661.605668
2024-01-01 07:40:00,10367.234814,-11261.064865,21540.398273
2024-01-01 07:45:00,11100.329109,-10874.122248,21377.320493
2024-01-01 07:50:00,11833.745878,-10503.341612,21172.704607
2024-01-01 07:55:00,12565.701374,-10149.249134,20926.964496
2024-01-01 08:00:00,13294.395005,-9812.26812,20640.594679
2024-01-01 08:05:00,14018.016585,-9492.717771,20314.169173
2024-01-01 08:10:00,14734.753637,-9190.812436,19948.3402
2024-01-01 08:15:00,15442.798691,-8906.661342,19543.836721
2024-01-01 08:20:00,16140.356576,-8640.268804,19101.462826
2024-01-01 08:25:00,16825.651649,-8391.534914,18622.095957
2024-01-01 08:30:00,17496.934944,-8160.256701,18106.684999
2024-01-01 08:35:00,18152.491195,-7946.129756,17556.248221
2024-01-01 08:40:00,18790.645721,-7748.750318,16971.871084
2024-01-01 08:45:00,19409.771124,-7567.617801,16354.703919
2024-01-01 08:50:00,20008.293786,-7402.137753,15705.959485
2024-01-01 08:55:00,20584.700124,-7251.625238,15026.910407
2024-01-01 09:00:00,21137.542589,-7115.308611,14318.886504
2024-01-01 09:05:00,21665.445373,-6992.33368,13583.272018
2024-01-01 09:10:00,22167.109809,-6881.768227,12821.502746
2024-01-01 09:15:00,22641.31943,-6782.606872,12035.063075
2024-01-01 09:20:00,23086.944683,-6693.776251,11225.482951
2024-01-01 09:25:00,23502.94726,-6614.140485,10394.334762
2024-01-01 09:30:00,23888.384042,-6542.506924,9543.230155
2024-01-01 09:35:00,24242.410638,-6477.632121,8673.8168
2024-01-01 09:40:00,24564.284503,-6418.228025,7787.775094
2024-01-01 09:45:00,24853.36762,-6362.968361,6886.814827
2024-01-01 09:50:00,25109.128748,-6310.495158,5972.671806
2024-01-01 09:55:00,25331.145216,-6259.425415,5047.104449
2024-01-01 10:00:00,25519.104261,-6208.357852,4111.890358
2024-01-01 10:05:00,25672.803913,-6155.879739,3168.82287
2024-01-01 10:10:00,25792.153417,-6100.573758,2219.70761
2024-01-01 10:15:00,25877.173192,-6041.024869,1266.359027
2024-01-01 10:20:00,25927.994337,-5975.827161,310.596944
2024-01-01 10:25:00,25944.857681,-5903.59065,-645.756887
2024-01-01 10:30:00,25928.112386,-5822.947988,-1600.88221
2024-01-01 10:35:00,25878.214109,-5732.561077,-2552.963669
2024-01-01 10:40:00,25795.722739,-5631.127538,-3500.194183
2024-01-01 10:45:00,25681.299703,-5517.387013,-4440.778291
2024-01-01 10:50:00,25535.704886,-5390.127289,-5372.935448
2024-01-01 10:55:00,25359.793135,-5248.190194,-6294.903287
2024-01-01 11:00:00,25154.51041,-5090.477263,-7204.940821
2024-01-01 11:05:00,24920.889567,-4915.955137,-8101.331598
2024-01-01 11:10:00,24660.045797,-4723.660679,-8982.386793
2024-01-01 11:15:00,24373.171759,-4512.705788,-9846.448235
2024-01-01 11:20:00,24061.532405,-4282.281882,-10691.891366
2024-01-01 11:25:00,23726.459535,-4031.664051,-11517.12813
2024-01-01 11:30:00,23369.346098,-3760.214837,-12320.609785
2024-01-01 11:35:00,22991.640262,-3467.387658,-13100.829631
2024-01-01 11:40:00,22594.839293,-3152.729831,-13856.32566
2024-01-01 11:45:00,22180.483237,-2815.885205,-14585.683118
2024-01-01 11:50:00,21750.148471,-2456.596387,-15287.536973
2024-01-01 11:55:00,21305.441116,-2074.706549,-15960.574295
2024-01-01 12:00:00,20847.990358,-1670.160811,-16603.536541
2024-01-01 12:05:00,20379.441696,-1243.007201,-17215.221732
2024-01-01 12:10:00,19901.450152,-793.397179,-17794.486547
2024-01-01 12:15:00,19415.673459,-321.58573,-18340.248294
2024-01-01 12:20:00,18923.765267,172.068978,-18851.486788
2024-01-01 12:25:00,18427.368383,687.106363,-19327.24612
2024-01-01 12:30:00,17928.108082,1222.964628,-19766.636311
2024-01-01 12:35:00,17427.585511,1778.982389,-20168.834862
2024-01-01 12:40:00,16927.371211,2354.40071,-20533.088183
2024-01-01 12:45:00,16428.998783,2948.36555,-20858.712915
2024-01-01 12:50:00,15933.95873,3559.930613,-21145.097128
2024-01-01 12:55:00,15443.692489,4188.060579,-21391.701408
2024-01-01 13:00:00,14959.58669,4831.634712,-21598.059816
2024-01-01 13:05:00,14482.967645,5489.450831,-21763.78074
2024-01-01 13:10:00,14015.096113,6160.229624,-21888.547608
2024-01-01 13:15:00,13557.162346,6842.619285,-21972.119491
2024-01-01 13:20:00,13110.28144,7535.200474,-22014.331579
2024-01-01 13:25:00,12675.489007,8236.491552,-22015.095527
2024-01-01 13:30:00,12253.737196,8944.9541,-21974.399681
2024-01-01 13:35:00,11845.891068,9658.998675,-21892.309176
2024-01-01 13:40:00,11452.72534,10376.990803,-21768.965901
2024-01-01 13:45:00,11074.921526,11097.257164,-21604.588346
2024-01-01 13:50:00,10713.065461,11818.091963,-21399.471312
2024-01-01 13:55:00,10367.645253,12537.763448,-21153.985497
2024-01-01 14:00:00,10039.049636,13254.520562,-20868.576947
2024-01-01 14:05:00,9727.566758,13966.599691,-20543.766387
2024-01-01 14:10:00,9433.3834,14672.231483,-20180.148414
2024-01-01 14:15:00,9156.584623,15369.647724,-19778.390563
2024-01-01 14:20:00,8897.153866,16057.088217,-19339.232249
2024-01-01 14:25:00,8654.973467,16732.80767,-18863.483573
2024-01-01 14:30:00,8429.825632,17395.082532,-18352.024003
2024-01-01 14:35:00,8221.393838,18042.217772,-17805.800932
2024-01-01 14:40:00,8029.264658,18672.553561,-17225.828102
2024-01-01 14:45:00,7852.930019,19284.471836,-16613.183907
2024-01-01 14:50:00,7691.78987,19876.402718,-15969.009578
2024-01-01 14:55:00,7545.155256,20446.830745,-15294.507232
2024-01-01 15:00:00,7412.25179,20994.300916,-14590.937815
2024-01-01 15:05:00,7292.223497,21517.424499,-13859.618919
2024-01-01 15:10:00,7184.137038,22014.884592,-13101.922482
2024-01-01 15:15:00,7086.986266,22485.441402,-12319.272385
2024-01-01 15:20:00,6999.697131,22927.937227,-11513.141927
2024-01-01 15:25:00,6921.132881,23341.301119,-10685.051198
2024-01-01 15:30:00,6850.099561,23724.553199,-9836.56435
2024-01-01 15:35:00,6785.351783,24076.80861,-8969.286766
2024-01-01 15:40:00,6725.598733,24397.281093,-8084.862137
2024-01-01 15:45:00,6669.5104,24685.286162,-7184.969439
2024-01-01 15:50:00,6615.724001,24940.243865,-6271.319836
2024-01-01 15:55:00,6562.850566,25161.681123,-5345.653492
2024-01-01 16:00:00,6509.481669,25349.233623,-4409.73631
2024-01-01 16:05:00,6454.196254,25502.647273,-3465.356602
2024-01-01 16:10:00,6395.567558,25621.77919,-2514.321691
2024-01-01 16:15:00,6332.170069,25706.598234,-1558.454461
2024-01-01 16:20:00,6262.586507,25757.185065,-599.589848
2024-01-01 16:25:00,6185.414795,25773.731742,360.428712
2024-01-01 16:30:00,6099.274982,25756.540846,1319.752867
2024-01-01 16:35:00,6002.816096,25706.024134,2276.532973
2024-01-01 16:40:00,5894.722884,25622.700737,3228.92173
2024-01-01 16:45:00,5773.722426,25507.194892,4175.077849
2024-01-01 16:50:00,5638.590569,25360.233237,5113.169706
2024-01-01 16:55:00,5488.158181,25182.641653,6041.379015
2024-01-01 17:00:00,5321.317162,24975.341695,6957.904476
2024-01-01 17:05:00,5137.026213,24739.346598,7860.965421
2024-01-01 17:10:00,4934.316323,24475.756902,8748.805416
2024-01-01 17:15:00,4712.295941,24185.75569,9619.695848
2024-01-01 17:20:00,4470.155827,23870.603473,10471.939453
2024-01-01 17:25:00,4207.173542,23531.632743,11303.873804
2024-01-01 17:30:00,3922.717561,23170.242212,12113.874732
2024-01-01 17:35:00,3616.250991,22787.890771,12900.359682
2024-01-01 17:40:00,3287.334874,22386.091183,13661.790991
2024-01-01 17:45:00,2935.631056,21966.403553,14396.679081
2024-01-01 17:50:00,2560.904611,21530.428587,15103.585562
2024-01-01 17:55:00,2163.025809,21079.800694,15781.126225
2024-01-01 18:00:00,1741.971609,20616.180929,16427.973941
2024-01-01 18:05:00,1297.826679,20141.249849,17042.861428
2024-01-01 18:10:00,830.783934,19656.700272,17624.583907
2024-01-01 18:15:00,341.144581,19164.230009,18172.00162
2024-01-01 18:20:00,-170.682314,18665.534581,18684.042217
2024-01-01 18:25:00,-704.180759,18162.299956,19159.702995
2024-01-01 18:30:00,-1258.729238,17656.195348,19598.052993
2024-01-01 18:35:00,-1833.602604,17148.866101,19998.234933
2024-01-01 18:40:00,-2427.974437,16641.926702,20359.466993
2024-01-01 18:45:00,-3040.919858,16136.953941,20681.044436
2024-01-01 18:50:00,-3671.418797,15635.480263,20962.341047
2024-01-01 18:55:00,-4318.35969,15138.987329,21202.810423
2024-01-01 19:00:00,-4980.543596,14648.89983,21401.987071
2024-01-01 19:05:00,-5656.688708,14166.579568,21559.487338
2024-01-01 19:10:00,-6345.435242,13693.319844,21675.010165
2024-01-01 19:15:00,-7045.350685,13230.340167,21748.337653
2024-01-01 19:20:00,-7754.935371,12778.781309,21779.335455
2024-01-01 19:25:00,-8472.628361,12339.700746,21767.952983
2024-01-01 19:30:00,-9196.813607,11914.06847,21714.223434
2024-01-01 19:35:00,-9925.826363,11502.763234,21618.263637
2024-01-01 19:40:00,-10657.959818,11106.569201,21480.27372
2024-01-01 19:45:00,-11391.471923,10726.173054,21300.536593
2024-01-01 19:50:00,-12124.592374,10362.161543,21079.417266
2024-01-01 19:55:00,-12855.529724,10015.01951,20817.361979
2024-01-01 20:00:00,-13582.4786,9685.128366,20514.897178
2024-01-01 20:05:00,-14303.626968,9372.765066,20172.628307
2024-01-01 20:10:00,-15017.16344,9078.101544,19791.238446
2024-01-01 20:15:00,-15721.284582,8801.204644,19371.486792
2024-01-01 20:20:00,-16414.202174,8542.036517,18914.206974
2024-01-01 20:25:00,-17094.150415,8300.455505,18420.305229
2024-01-01 20:30:00,-17759.393025,8076.217488,17890.758431
2024-01-01 20:35:00,-18408.230218,7868.977694,17326.611977
2024-01-01 20:40:00,-19039.005512,7678.292968,16728.977542
2024-01-01 20:45:00,-19650.11235,7503.624471,16099.030713
2024-01-01 20:50:00,-20240.000507,7344.340814,15438.008491
2024-01-01 20:55:00,-20807.182239,7199.721598,14747.20669
2024-01-01 21:00:00,-21350.238173,7068.961349,14027.977225
2024-01-01 21:05:00,-21867.82289,6951.173828,13281.725297
2024-01-01 21:10:00,-22358.670192,6845.396689,12509.906488
2024-01-01 21:15:00,-22821.598023,6750.596477,11714.023772
2024-01-01 21:20:00,-23255.513033,6665.673925,10895.624441
2024-01-01 21:25:00,-23659.414754,6589.469534,10056.296968
2024-01-01 21:30:00,-24032.399383,6520.769416,9197.667799
2024-01-01 21:35:00,-24373.663155,6458.311359,8321.398093
2024-01-01 21:40:00,-24682.505282,6400.791099,7429.180409
2024-01-01 21:45:00,-24958.330468,6346.868763,6522.735354
2024-01-01 21:50:00,-25200.650968,6295.175455,5603.808194
2024-01-01 21:55:00,-25409.088204,6244.319961,4674.165442
2024-01-01 22:00:00,-25583.373923,6192.895537,3735.591417
2024-01-01 22:05:00,-25723.350886,6139.486751,2789.884797
2024-01-01 22:10:00,-25828.973114,6082.676352,1838.855162
2024-01-01 22:15:00,-25900.305657,6021.052139,884.319539
2024-01-01 22:20:00,-25937.52392,5953.213782,-71.90105
2024-01-01 22:25:00,-25940.912531,5877.779599,-1027.985026
2024-01-01 22:30:00,-25910.863764,5793.393229,-1982.113669
2024-01-01 22:35:00,-25847.875528,5698.730181,-2932.474514
2024-01-01 22:40:00,-25752.548931,5592.504253,-3877.26471
2024-01-01 22:45:00,-25625.58543,5473.473755,-4814.694352
2024-01-01 22:50:00,-25467.783574,5340.447548,-5742.989758
2024-01-01 22:55:00,-25280.035375,5192.290851,-6660.396715
2024-01-01 23:00:00,-25063.322296,5027.930801,-7565.183658
2024-01-01 23:05:00,-24818.710904,4846.36174,-8455.644798
2024-01-01 23:10:00,-24547.348174,4646.650213,-9330.103196
2024-01-01 23:15:00,-24250.456503,4427.939651,-10186.913758
2024-01-01 23:20:00,-23929.328416,4189.454722,-11024.46617
2024-01-01 23:25:00,-23585.321021,3930.505333,-11841.187751
2024-01-01 23:30:00,-23219.85021,3650.490276,-12635.546238
2024-01-01 23:35:00,-22834.384654,3348.900483,-13406.052483
2024-01-01 23:40:00,-22430.439591,3025.321898,-14151.263062
2024-01-01 23:45:00,-22009.570461,2679.437948,-14869.782808
2024-01-01 23:50:00,-21573.36639,2311.031596,-15560.267238
2024-01-01 23:55:00,-21123.44357,1919.986984,-16221.424897
2024-01-02 00:00:00,-20661.438539,1506.29064,-16852.019602
